designation,thread_system,nominal_diameter,nominal_diameter_unit,pitch,pitch_unit,tpi,coarse_fine,primary_tap_drill,primary_tap_drill_unit,primary_drill_convention,primary_tap_drill_status,iso_2306_alternative_drill,iso_2306_alternative_unit,iso_2306_alternative_status,standards,tap_types,record_status
M8x1.0,metric,8,mm,1,mm,,fine,7,mm,ISO 2306 metric convention,source_bound,,,,ISO 2306; ISO 261; ISO 262; ISO 724; ISO 965-1,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
M8x1.25,metric,8,mm,1.25,mm,,coarse,6.8,mm,ISO 2306 metric convention,verified,,,,ISO 2306; ISO 261; ISO 262; ISO 724; ISO 965-1,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
#10-24 UNC,UNC,0.19,in,,,24,coarse,0.1495,in,US customary drill convention,source_bound,3.9,mm,verified,ASME B1.1; ISO 2306,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
1/2-13 UNC,UNC,0.5,in,,,13,coarse,0.4219,in,US customary drill convention,source_bound,10.8,mm,verified,ASME B1.1; ISO 2306,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
1/4-20 UNC,UNC,0.25,in,,,20,coarse,0.201,in,US customary drill convention,source_bound,5.1,mm,verified,ASME B1.1; ISO 2306,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
3/8-16 UNC,UNC,0.375,in,,,16,coarse,0.3125,in,US customary drill convention,source_bound,8,mm,verified,ASME B1.1; ISO 2306,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
#4-40 UNC,UNC,0.112,in,,,40,coarse,0.089,in,US customary drill convention,source_bound,2.35,mm,verified,ASME B1.1; ISO 2306,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
5/16-18 UNC,UNC,0.313,in,,,18,coarse,0.257,in,US customary drill convention,source_bound,6.6,mm,verified,ASME B1.1; ISO 2306,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
#6-32 UNC,UNC,0.138,in,,,32,coarse,0.1065,in,US customary drill convention,source_bound,2.85,mm,verified,ASME B1.1; ISO 2306,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
#8-32 UNC,UNC,0.164,in,,,32,coarse,0.136,in,US customary drill convention,source_bound,3.5,mm,verified,ASME B1.1; ISO 2306,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
#10-32 UNF,UNF,0.19,in,,,32,fine,0.159,in,US customary drill convention,source_bound,4.1,mm,verified,ASME B1.1; ISO 2306,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
1/2-20 UNF,UNF,0.5,in,,,20,fine,0.4531,in,US customary drill convention,source_bound,11.5,mm,verified,ASME B1.1; ISO 2306,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
1/4-28 UNF,UNF,0.25,in,,,28,fine,0.213,in,US customary drill convention,source_bound,5.5,mm,verified,ASME B1.1; ISO 2306,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
3/8-24 UNF,UNF,0.375,in,,,24,fine,0.332,in,US customary drill convention,source_bound,8.5,mm,verified,ASME B1.1; ISO 2306,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
5/16-24 UNF,UNF,0.313,in,,,24,fine,0.272,in,US customary drill convention,source_bound,6.9,mm,verified,ASME B1.1; ISO 2306,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
#6-40 UNF,UNF,0.138,in,,,40,fine,0.113,in,US customary drill convention,source_bound,2.95,mm,verified,ASME B1.1; ISO 2306,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
#8-36 UNF,UNF,0.164,in,,,36,fine,0.136,in,US customary drill convention,source_bound,3.5,mm,verified,ASME B1.1; ISO 2306,bottoming_tap; plug_tap; spiral_flute_tap; spiral_point_tap; taper_tap,source_bound
